position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
12,Zaragoza,30,10,5,15,54,73,−19,25,1951-52
16,Zaragoza,30,6,5,19,38,74,−36,17,1952-53
9,Zaragoza,30,11,6,13,37,51,−14,28,1956-57
14,Zaragoza,30,8,8,14,39,52,−13,24,1957-58
9,Zaragoza,30,12,4,14,47,60,−13,28,1958-59
11,Zaragoza,30,10,5,15,49,58,−9,25,1959-60
3,Zaragoza,30,12,9,9,54,53,+1,33,1960-61
4,Zaragoza,30,15,5,10,70,51,+19,35,1961-62
5,Zaragoza,30,14,4,12,54,39,+15,32,1962-63
4,Zaragoza,30,14,6,10,52,42,+10,34,1963-64
3,Zaragoza,30,19,2,9,60,37,+23,40,1964-65
4,Zaragoza,30,14,8,8,47,29,+18,36,1965-66
5,Zaragoza,30,14,6,10,51,50,+1,34,1966-67
5,Zaragoza,30,13,7,10,43,34,+9,33,1967-68
13,Zaragoza,30,8,10,12,36,36,0,26,1968-69
8,Zaragoza,30,13,7,10,35,39,−4,33,1969-70
16,Zaragoza,30,3,9,18,22,54,−32,15,1970-71
8,Zaragoza,34,10,14,10,36,36,0,34,1972-73
3,Zaragoza,34,16,7,11,51,38,+13,39,1973-74
2,Zaragoza,34,15,8,11,58,47,+11,38,1974-75
14,Zaragoza,34,11,8,15,45,43,+2,30,1975-76
16,Zaragoza,34,10,10,14,42,51,−9,30,1976-77
14,Zaragoza,34,12,6,16,56,59,−3,30,1978-79
11,Zaragoza,34,13,7,14,43,40,+3,33,1979-80
14,Zaragoza,34,9,11,14,31,44,−13,29,1980-81
11,Zaragoza,34,13,8,13,45,56,−11,34,1981-82
6,Zaragoza,34,17,6,11,59,39,+20,40,1982-83
7,Zaragoza,34,12,11,11,50,41,+9,35,1983-84
10,Zaragoza,34,11,11,12,39,39,0,33,1984-85
4,Zaragoza,34,15,12,7,51,34,+17,42,1985-86
6,Zaragoza,34,13,10,11,31,30,+1,36,1986-87
11,Zaragoza,38,11,14,13,54,56,−2,36,1987-88
5,Zaragoza,38,15,13,10,48,42,+6,43,1988-89
9,Zaragoza,38,16,8,14,52,52,0,40,1989-90
17,Zaragoza,38,11,11,16,36,40,−4,33,1990-91
6,Zaragoza,38,17,7,14,40,41,−1,41,1991-92
9,Zaragoza,38,11,13,14,37,52,−15,35,1992-93
3,Zaragoza,38,19,8,11,71,47,+24,46,1993-94
7,Zaragoza,38,18,7,13,56,51,+5,43,1994-95
13,Zaragoza,42,11,15,16,51,59,−8,48,1995-96
14,Zaragoza,42,12,14,16,58,66,−8,50,1996-97
13,Zaragoza,38,12,12,14,45,53,−8,48,1997-98
9,Zaragoza,38,16,9,13,57,46,+11,57,1998-99
4,Zaragoza,38,16,15,7,60,40,+20,63,1999-2000
17,Zaragoza,38,9,15,14,54,57,−3,42,2000-01
20,Zaragoza,38,9,10,19,35,54,−19,37,2001-02
12,Zaragoza,38,13,9,16,46,55,−9,48,2003-04
12,Zaragoza,38,14,8,16,52,57,−5,50,2004-05
11,Zaragoza,38,10,16,12,46,51,−5,46,2005-06
6,Zaragoza,38,16,12,10,55,43,+12,60,2006-07
18,Zaragoza,38,10,12,16,50,61,−11,42,2007-08
14,Zaragoza,38,10,11,17,46,64,−18,41,2009-10
13,Zaragoza,38,12,9,17,40,53,−13,45,2010-11
16,Zaragoza,38,12,7,19,36,61,−25,43,2011-12
20,Zaragoza,38,9,7,22,37,62,−25,34,2012-13
